cal_error,protein_error,fat_error,carb_error,score
-0.27009,0.171294,-0.173394,-0.043449,0.323106
0.137699,0.114832,-0.017285,-0.14685,0.543653
-0.111235,-0.147494,-0.180743,-0.122113,0.472868
-0.336096,0.018515,-0.267285,0.005851,0.360231
-0.134798,0.308296,0.256575,0.18408,0.0
-0.097624,-0.113474,0.442952,-0.372859,0.0
0.000847,0.089211,-0.023117,0.010788,0.789192
-0.31227,0.116041,-0.171371,-0.293617,0.029246
0.303321,-0.003447,0.134157,0.165211,0.425722
-0.090439,-0.134929,0.012251,-0.262032,0.413775
0.064613,-0.289782,-0.037531,0.287285,0.095418
-0.203936,-0.038029,-0.074473,-0.16544,0.421315
-0.391485,-0.064811,0.239135,-0.122414,0.121839
0.402392,-0.408132,0.254722,-0.20644,0.0
-0.261377,0.121394,-0.1296,-0.118962,0.409012
-0.246275,-0.250175,0.390704,0.128254,0.018089
-0.314492,-0.119822,0.293166,0.064674,0.12139
0.051104,0.066674,0.002299,-0.081838,0.716835
-0.035487,-0.031239,-0.316844,-0.337328,0.23697
-0.253229,0.222082,-0.149291,-0.203048,0.0
0.228878,0.317291,0.01763,0.120406,0.219348
0.064478,-0.037892,0.146663,-0.155088,0.541707
0.295098,0.022352,-0.071934,-0.038526,0.557558
-0.161666,-0.074351,0.002827,-0.188546,0.407397
-0.032127,-0.110306,0.243965,-0.015815,0.465178
0.065906,0.227273,0.181592,0.101973,0.256341
-0.027508,-0.108046,0.432671,0.007883,0.37216
0.139725,0.361498,0.284942,-0.091346,0.050657
-0.220642,-0.005397,-0.119624,-0.109673,0.543299
-0.033615,0.255878,0.000796,0.019274,0.349647
-0.019393,0.206269,0.240814,0.146508,0.300848
-0.136918,0.073567,-0.136804,-0.263331,0.32569
0.076644,0.262075,0.036628,0.099327,0.431706
0.017265,-0.145952,-0.005838,-0.045694,0.721438
-0.164188,0.049557,-0.236823,-0.387368,0.168401
-0.183234,0.136313,-0.24879,-0.244286,0.157296
-0.275002,-0.240234,-0.078757,-0.342426,0.024882
0.063683,-0.045488,-0.059707,0.016535,0.727545
0.159799,0.012196,0.5,0.285847,0.061413
-0.38045,-0.308159,0.121475,-0.142216,0.022838
-0.308691,0.038019,-0.06867,-0.105516,0.391803
-0.048519,-0.031276,-0.00742,-0.062698,0.840552
-0.020941,0.044679,0.131825,0.061313,0.75075
0.23392,-0.420443,0.5,0.264662,0.0
-0.246132,-0.304849,0.435471,0.046397,0.0
-0.195252,0.092295,-0.232383,-0.177924,0.253314
-0.186132,0.05123,-0.289698,-0.18398,0.166394
-0.03338,0.019914,-0.165248,0.055963,0.778143
0.356558,-0.45756,0.267519,0.363167,0.055685
0.110206,0.176296,0.202568,0.104028,0.34974
0.043345,0.199077,0.021802,0.127195,0.482514
0.414674,-0.38539,0.214724,0.248049,0.075202
-0.281602,0.198699,-0.058535,-0.13346,0.335098
0.045024,0.183626,0.13604,-0.108048,0.432583
-0.24365,0.024109,-0.039631,-0.199234,0.459564
0.128167,0.188076,-0.085985,0.240172,0.263672
-0.279057,-0.069791,0.210858,-0.182315,0.135861
-0.176789,0.04497,-0.019094,-0.293791,0.512187
-0.108406,-0.060924,0.5,0.259184,0.0
-0.234807,0.104148,0.061153,-0.388288,0.168107
-0.181208,-0.055944,-0.140907,0.077448,0.53596
0.076328,0.089054,-0.032666,0.264296,0.514435
-0.022462,0.051371,-0.080342,-0.17225,0.600823
0.282434,0.300159,-0.009873,0.154266,0.183336
-0.299912,0.056342,-0.166512,-0.287827,0.125443
0.373061,-0.033645,-0.012644,-0.026691,0.573995
-0.154938,0.304288,-0.042868,0.012778,0.338289
-0.170259,0.158405,-0.145828,-0.263489,0.201446
-0.185157,0.039191,-0.162841,-0.070186,0.507399
-0.20828,0.028628,-0.117732,-0.212407,0.483306
-0.227575,0.030542,-0.356711,-0.200076,0.261802
0.163847,0.384823,-0.240108,0.029796,0.018859
-0.021581,-0.5,0.223899,0.209139,0.005632
-0.31749,0.005665,-0.122556,-0.244485,0.338374
-0.227688,-0.004653,-0.208541,-0.377795,0.129208
-0.012719,0.049391,0.039707,-0.036125,0.736117
-0.13697,-0.07605,-0.185014,-0.351084,0.260339
0.5,-0.05671,0.231135,0.240549,0.030005
-0.090218,0.015331,-0.140387,-0.221735,0.475363
0.05436,-0.180169,0.178544,0.5,0.020698
-0.136091,0.054546,-0.137762,-0.154543,0.4388
-0.029013,0.177504,-0.139484,-0.301616,0.319091
-0.0076,-0.190913,0.211426,-0.010151,0.429673
0.076553,-0.110369,0.332657,0.059312,0.318241
0.016212,0.021551,-0.004476,0.034044,0.943948
0.151019,0.15816,0.209047,-0.003126,0.375485
-0.04227,-0.239553,0.291473,-0.074396,0.19362
-0.090995,-0.178459,0.5,-0.101634,0.0019
0.142129,-0.366718,0.116551,-0.039031,0.21213
0.024293,-0.459488,0.272354,-0.10575,0.022225
-0.203515,0.170966,-0.296458,-0.209866,0.056543
0.355802,0.324287,0.349715,0.429359,0.030724
0.071758,0.173302,-0.029277,0.101717,0.556985
0.214659,-0.175974,0.171078,-0.146918,0.235029
-0.36077,0.176544,-0.16592,-0.255549,0.007432
-0.05462,-0.015054,-0.005293,0.022791,0.931271
0.090187,-0.017142,-0.097067,0.033961,0.760095
0.219506,0.15868,0.403907,0.179859,0.0
0.0419,-0.230886,0.180156,-0.033212,0.371248
-0.307925,-0.067674,-0.154398,-0.235699,0.182871
0.016286,0.07506,0.057895,0.173208,0.616235
-0.180192,0.123067,-0.16801,-0.217698,0.280315
-0.071078,0.19832,-0.056357,-0.241336,0.308459
0.091691,0.061549,0.096982,0.137988,0.532735
0.07826,-0.063013,0.289686,0.112567,0.432116
0.055408,0.246437,-0.067428,-0.166444,0.326704
-0.038133,-0.019152,-0.040481,0.161588,0.732565
-0.295225,0.051269,-0.102255,-0.03231,0.46781
-0.051316,0.229196,-0.270827,-0.060211,0.33373
0.001599,0.164434,-0.116057,0.010118,0.638034
0.312003,0.019507,0.097125,-0.245017,0.35766
0.341718,-0.188966,0.266484,0.36643,0.0
-0.399518,0.147174,-0.318157,-0.179385,0.049427
-0.134322,0.182921,-0.223287,-0.244228,0.118367
0.077926,0.160133,0.158405,0.086296,0.467255
-0.340527,-0.024885,-0.131913,-0.135139,0.435593
-0.166765,0.101086,-0.039346,-0.112792,0.567281
0.120452,0.200404,0.007615,0.173194,0.42564
-0.094095,0.076834,-0.115446,-0.219814,0.475693
-0.236671,-0.029389,-0.16645,-0.189593,0.2867
0.171596,-0.037132,-0.034628,-0.153336,0.554785
-0.061751,-0.081339,0.280867,0.140018,0.375151
-0.22233,-0.041843,-0.080872,-0.266518,0.432328
0.059018,-0.062114,-0.018613,0.006997,0.831515
0.096566,-0.218756,0.5,0.250824,0.0
0.077715,0.04666,0.130111,0.080803,0.606952
-0.22868,-0.392095,-0.168185,-0.066505,0.0
-0.03689,0.193001,-0.182903,-0.115093,0.397133
0.044542,0.001918,0.043483,0.005437,0.914601
0.096644,0.281515,-0.038441,0.041819,0.411137
-0.284709,0.095836,-0.237531,-0.124257,0.284374
0.04154,0.30639,0.080818,-0.03692,0.412295
0.002012,-0.066892,0.093574,0.342208,0.535832
-0.034152,0.050565,0.025632,-0.000176,0.778306
-0.023,0.179076,-0.339445,-0.066203,0.264291
-0.218425,-0.041274,-0.24435,0.071364,0.449361
0.060313,0.047294,0.142714,0.16274,0.492437
-0.079873,-0.233149,-0.064133,0.224561,0.29521
-0.071312,0.248001,-0.009361,0.101394,0.39442
-0.222947,-0.024568,-0.189467,-0.126067,0.369118
-0.261658,0.10369,-0.022877,-0.155594,0.426421
0.277361,0.217384,0.135105,0.115325,0.101115
0.011842,0.060534,0.039074,-0.020179,0.767825
-0.034282,0.036173,0.023405,-0.04826,0.925995
0.15353,-0.122282,0.068133,0.186543,0.426053
-0.358671,0.186952,-0.133391,-0.147799,0.012037
0.09091,0.147952,-0.131756,0.229924,0.333848
0.145425,-0.392482,0.095951,0.039397,0.0
-0.252958,0.097177,-0.152929,0.038347,0.302114
-0.015888,-0.5,0.14615,0.233152,0.004498
0.129247,0.43303,-0.02625,0.150601,0.026474
-0.072711,-0.274176,0.101988,-0.229098,0.208115
-0.131925,-0.002958,-0.104294,-0.352095,0.469354
-0.154719,-0.462643,0.239985,0.192381,0.0
0.038362,-0.067645,-0.010353,0.01507,0.807537
-0.020122,-0.012722,-0.024428,0.071892,0.908329
-0.063694,0.120869,-0.021058,0.5,0.214697
-0.047786,-0.210664,-0.101577,-0.080427,0.419721
-0.021717,0.266996,-0.048719,-0.250816,0.279898
-0.092572,0.035218,-0.201785,-0.10327,0.587353
0.106842,0.187181,0.130802,0.185602,0.311175
-0.01517,0.19779,0.08142,0.098667,0.43906
0.183685,-0.329627,-0.251118,0.316893,0.012004
-0.019209,-0.466053,0.156507,0.334573,0.024843
-0.086343,-0.031301,0.111817,-0.417163,0.321469
0.388125,-0.291146,0.240863,0.091343,0.0
-0.266214,-0.138137,-0.01145,-0.028905,0.483107
0.273551,-0.290114,-0.02571,-0.168988,0.055066
0.088353,0.028027,0.122573,-0.127889,0.532311
-0.215361,0.144051,-0.318515,-0.240491,0.026578
-0.293009,0.06888,-0.157307,-0.003264,0.449038
0.124698,-0.199651,0.438634,-0.188575,0.0
-0.180879,-0.080228,0.001827,-0.20625,0.512573
0.073432,0.101896,0.00223,-0.091618,0.684641
-0.140102,0.072098,-0.252959,-0.035016,0.446196
-0.095969,0.226252,-0.392591,-0.034192,0.250658
0.152002,0.020158,0.246426,0.057601,0.472591
0.195702,-0.5,0.413,0.298047,0.01525
-0.343007,-0.251491,-0.003907,0.362371,0.014134
-0.239609,0.08656,-0.2707,-0.136795,0.285109
0.232312,0.080185,0.010137,-0.005685,0.639476
0.059951,-0.020575,-0.007271,0.010433,0.907896
-0.412271,-0.190297,0.5,0.210886,0.0
0.20932,0.137995,0.318821,0.292526,0.0
0.054,-0.335096,0.417992,0.173535,0.0
-0.241967,0.151535,-0.068377,-0.402873,0.085108
-0.025993,-0.376789,0.266391,0.419571,0.0
0.132643,0.206638,0.074259,0.101422,0.348703
0.051617,-0.445166,-0.003898,0.049965,0.274787
0.037568,-0.123821,0.5,0.428173,0.0
-0.02291,0.342106,-0.02089,0.132159,0.289614
-0.23922,-0.035813,0.02585,0.298635,0.435258
-0.007497,0.067856,0.370233,0.01079,0.475441
0.064935,0.443098,-0.038128,0.004911,0.204302
-0.336404,-0.185059,0.091063,-0.134077,0.164894
0.036467,0.152984,0.049699,0.229109,0.469178
0.25923,-0.363313,0.376006,0.005209,0.090229
-0.017995,0.157526,0.028138,-0.009339,0.693512
0.305851,-0.215766,0.191567,0.044065,0.214121
-0.122317,-0.133335,-0.012455,-0.092102,0.575701
0.26526,0.079732,-0.097724,0.207824,0.3109
-0.23066,0.09721,0.011691,-0.034389,0.563784
0.151862,0.202335,0.162352,0.259802,0.050433
-0.357699,0.037674,-0.127119,-0.260157,0.279327
-0.227808,-0.214271,-0.098392,-0.177772,0.15588
0.070855,-0.206646,0.224504,-0.122835,0.284495
0.096034,0.381819,0.057897,0.074449,0.171485
-0.210492,0.368817,-0.071035,-0.298504,0.026508
-0.155735,-0.234398,0.221577,0.050113,0.277998
0.081944,0.423185,0.055535,0.118954,0.198661
0.181424,0.090015,-0.025432,0.181673,0.468868
0.057029,0.222279,0.162682,-0.065426,0.335862
-0.258196,-0.149726,0.5,0.383855,0.101375
0.160421,0.2377,0.142296,0.041834,0.258867
-0.485432,-0.109322,0.316963,0.5,0.0
-0.062393,-0.38509,-0.061883,0.316068,0.018449
-0.129192,0.024059,-0.038705,-0.087714,0.689394
0.214201,0.130798,0.179259,0.142459,0.217993
0.112822,-0.391415,0.339206,0.064601,0.0
-0.046354,0.07799,0.5,0.033522,0.268899
0.057185,0.364664,-0.040385,0.000933,0.273565
0.043387,-0.006566,0.274704,0.007241,0.67801
-0.1448,0.002496,-0.049051,-0.410588,0.451848
-0.152373,-0.14548,-0.105153,0.015318,0.391315
-0.365216,-0.069199,-0.157606,-0.133859,0.138936
0.5,-0.278877,0.5,0.133433,0.033325
-0.050853,0.235677,-0.131103,0.048511,0.423274
0.182957,0.322543,0.069245,0.113027,0.247353
-0.229014,0.047097,0.014755,-0.259582,0.375608
0.053186,-0.241946,0.322519,0.161975,0.138795
-0.076621,0.076333,-0.092551,-0.172634,0.531344
-0.167059,-0.006487,-0.205926,-0.298208,0.287841
0.164364,0.185896,-0.010797,0.272852,0.315209
0.149681,0.120738,0.053921,0.175118,0.439438
0.013387,-0.457123,-0.092054,0.229872,0.021845
0.130849,0.282419,0.198112,-0.036746,0.235817
0.5,-0.260176,0.166038,0.313135,0.0
-0.384655,-0.247928,0.28214,0.06012,0.0
0.041961,0.037271,-0.04612,0.00568,0.823065
0.165625,0.257816,0.145988,-0.072741,0.305462
-0.327181,0.109836,-0.203926,-0.280916,0.019389
-0.247898,0.11993,-0.0821,-0.252697,0.300446
-0.367685,-0.245125,-0.234486,0.322633,0.028126
-0.099928,-0.111841,-0.115938,-0.408265,0.212389
-0.179689,-0.120715,-0.347123,-0.150401,0.099768
-0.228499,0.125651,-0.187361,-0.174025,0.349575
0.000587,0.077305,0.163198,0.028114,0.751963
0.167589,-0.391193,0.260094,0.065338,0.0
-0.082525,0.06415,-0.112978,0.034924,0.70532
-0.192268,-0.055686,-0.011937,-0.159267,0.540379
-0.306239,0.040089,-0.082724,-0.213005,0.328226
0.312808,0.048644,-0.088834,0.198872,0.239581
0.256276,0.147191,-0.086526,0.131589,0.357497
-0.364238,0.004953,-0.04643,-0.363965,0.268741
-0.197417,0.052263,-0.21336,-0.285978,0.240362
-0.149803,0.227399,-0.082667,-0.143025,0.315021
-0.220259,-0.5,0.039474,-0.177007,0.0
-0.5,0.190399,0.152218,0.392269,0.0
-0.193805,0.20077,-0.130783,-0.022524,0.341497
0.130004,0.268884,-0.10488,-0.013341,0.28921
0.069274,-0.106131,-0.260121,-0.073163,0.342022
0.308572,-0.5,0.5,-0.007071,0.030997
0.052582,-0.5,0.5,0.285847,0.0
-0.182802,0.015642,-0.313878,-0.146058,0.36929
-0.089084,0.270529,-0.332203,-0.338263,0.0
0.085615,0.264505,-0.005612,0.152951,0.38351
0.202125,0.073001,-0.101369,0.111606,0.410874
0.091395,0.078415,-0.05965,0.100322,0.724709
-0.279434,0.04283,-0.313252,-0.158386,0.258172
-0.401419,-0.051493,-0.186809,-0.268221,0.046093
-0.133249,0.070515,-0.234964,-0.336414,0.191147
-0.13148,-0.147548,-0.079501,-0.017401,0.571317
-0.217981,-0.183005,0.5,0.396865,0.07914
-0.316187,0.000351,0.173234,0.354604,0.037593
0.194615,-0.250478,-0.078854,0.186816,0.144445
0.205981,0.160822,0.053277,-0.051813,0.440526
-0.16896,0.135233,-0.189419,-0.381671,0.038574
-0.081167,0.369524,0.088751,-0.083709,0.246838
0.392832,-0.366024,0.137043,0.091885,0.0
-0.180192,0.023032,-0.176707,-0.420234,0.237733
-0.281372,0.172585,0.01327,-0.134322,0.47217
0.186932,-0.5,0.319565,0.062676,0.0
0.193578,0.28628,0.131951,0.075012,0.108126
-0.075197,0.090385,-0.041331,-0.270243,0.427239
0.025762,-0.11814,0.328962,-0.208438,0.152455
-0.003885,-0.075976,0.06831,-0.007699,0.790714
-0.162865,-0.103769,0.27803,0.267673,0.225823
-0.235533,0.154133,-0.137003,-0.219825,0.233847
0.173758,0.235852,0.188776,0.26936,0.0
-0.07146,-0.211346,0.371032,-0.002155,0.297911
-0.124518,-0.14902,0.206046,0.475187,0.0
0.154938,0.104952,0.076549,0.050857,0.467441
-0.108802,0.136792,-0.042869,-0.106646,0.530764
0.201182,0.209079,0.017958,0.113884,0.289062
0.020406,0.000861,0.253806,-0.20404,0.489625
-0.001675,-0.013842,0.015409,0.019773,1.0
-0.296508,-0.403401,0.218779,0.22166,0.0
-0.329174,-0.24583,0.426342,0.065303,0.061605
-0.043614,-0.128567,-0.146485,-0.092109,0.520112
0.059356,0.000159,-0.00862,0.055704,0.833383
0.075088,0.035302,0.037532,0.028914,0.852654
-0.293377,0.198765,-0.126963,-0.266488,0.009957
0.257624,0.282889,0.123208,0.255146,0.0
-0.262225,0.0285,-0.202619,-0.237893,0.28208
-0.05928,0.185916,-0.030049,0.15472,0.51363
0.122281,-0.316513,-0.015332,0.293114,0.08416
-0.173352,0.290019,-0.062477,-0.043973,0.331715
0.087551,0.244736,0.051337,0.075676,0.429312
-0.222256,-0.036274,-0.208625,0.032566,0.485693
-0.398021,0.035508,-0.097484,-0.318121,0.013792
-0.001134,0.441045,0.072252,-0.153231,0.007006
0.274096,0.16811,0.006036,3.6e-05,0.486237
0.112427,0.313984,-0.058135,0.201417,0.153352
-0.063446,0.060603,-0.011435,-0.059063,0.749024
-0.337253,0.007794,-0.045764,-0.253823,0.321731
-0.311683,0.068182,-0.037301,-0.14429,0.241584
0.020692,0.112075,0.123381,0.081213,0.56461
0.209239,0.308204,0.185719,0.185037,0.0
0.112821,0.205079,0.154692,0.034537,0.350151
-0.198767,-0.218885,-0.164635,-0.406719,0.019769
-0.141528,-0.005185,-0.024272,-0.023511,0.715492
-0.125157,0.127058,-0.246688,-0.169352,0.279315
0.043477,0.02925,0.037527,-0.00247,0.88747
-0.307295,0.025974,-0.18287,-0.157267,0.33907
0.073607,-0.021308,0.328379,-0.078825,0.574797
-0.099088,-0.019503,-0.191504,-0.436399,0.336189
-0.050077,0.070513,-0.165883,-0.204559,0.526845
-0.073967,-0.139566,-0.195591,-0.142956,0.419859
-0.372239,0.065578,0.298817,0.232405,0.020458
-0.212853,-0.021367,-0.11854,-0.007351,0.613952
-0.222725,-0.263463,-0.155918,-0.031172,0.17255
0.5,-0.084749,0.276176,0.187124,0.004187
-0.192622,-0.029517,0.335677,0.038613,0.362701
0.048163,0.002732,-0.476327,-0.394989,0.127125
0.073392,0.046517,0.246973,-0.085015,0.52916
-0.20021,-0.151836,0.246247,0.101293,0.258679
-0.087635,0.0909,-0.189383,-0.15753,0.411998
0.445912,-0.5,0.5,0.351225,0.0
-0.150308,0.088089,-0.125809,0.079685,0.417003
-0.124957,-0.025693,-0.166757,-0.322107,0.353068
-0.121922,0.077527,-0.036003,-0.162447,0.56672
-0.125102,0.022384,-0.150912,-0.227338,0.331988
-0.23911,-0.057251,-0.310331,-0.180953,0.114285
0.041747,0.176136,-0.083568,0.223601,0.37395
-0.432122,-0.074449,0.298348,0.321083,0.00437
-0.181342,0.106841,-0.133133,-0.229106,0.315763
0.066247,0.299042,0.053703,0.082571,0.341835
-0.278264,-0.047245,0.452632,0.156207,0.033874
0.122826,-0.197873,0.267465,0.123852,0.262605
0.02863,0.5,-0.093623,0.220864,0.018399
0.078246,0.060917,-0.119352,0.178827,0.615653
-0.313088,-0.025413,-0.161002,-0.263521,0.189968
-0.085944,0.31866,-0.195096,-0.36653,0.0
-0.002168,0.07504,-0.113719,-0.137633,0.683356
0.021967,0.009237,0.150033,0.114385,0.645945
-0.146342,-0.125907,-0.264784,-0.113431,0.276463
-0.18637,-0.160081,-0.123379,0.283134,0.195404
-0.063922,0.209819,0.062883,0.171298,0.340243
-0.132886,0.27074,-0.260157,0.005858,0.156226
-0.205198,-0.003023,-0.169197,-0.278726,0.32365
-0.121815,0.177736,-0.266596,-0.25665,0.096817
-0.232272,0.272344,-0.191046,-0.219963,0.0
-0.150066,0.00394,0.043495,-0.043078,0.726985
-0.265247,-0.468399,0.377158,-0.078048,0.0
0.044956,0.026946,0.017175,-0.029485,0.821218
-0.263077,0.232327,0.018488,-0.063092,0.34775
0.152745,0.197763,0.05512,0.163,0.280451
-0.03125,-0.35766,0.112081,0.002599,0.249669
-0.20138,0.178628,-0.112946,-0.219347,0.168976
-0.17861,0.015374,-0.198126,-0.22792,0.414879
-0.372266,-0.229818,0.303236,0.031209,0.019418
0.225891,0.149047,-0.079565,0.12283,0.362191
0.201697,0.145154,-0.018215,0.194067,0.471406
0.434541,-0.332904,0.071187,0.179329,0.063049
0.208917,-0.080634,0.221199,0.161522,0.275958
-0.25946,0.004412,-0.286716,-0.309148,0.091735
-0.193114,-0.042237,-0.043434,-0.304731,0.414543
0.173412,0.101568,-0.010787,0.056148,0.565937
0.021602,-0.003895,0.04836,0.116639,0.814262
-0.281558,-0.023092,-0.085065,-0.294862,0.27183
-0.058712,0.26229,-0.13394,-0.239438,0.187727
-0.331569,0.386535,-0.103782,-0.125514,0.0
-0.065741,-0.07313,-0.040459,0.009826,0.735663
0.094175,-0.171713,0.242755,0.186727,0.17179
0.5,-0.07833,0.296499,0.456534,0.0
0.066655,0.075019,0.142043,-0.112665,0.561608
0.19787,0.257991,0.178225,0.112511,0.144636
0.085972,0.282339,-0.140864,0.100738,0.186759
0.160037,0.30776,0.101181,0.06171,0.184146
-0.088601,0.040898,0.078462,0.05856,0.799593
